15412-129,D县杏花-HLHF-2,15412,D县杏花-HLHF,112.50301,33.67021,262,130,43
15387-128,D县尚家耀-HLHF-1,15387,D县尚家耀-HLHF,112.50112,33.61973,239,60,15
15387-129,D县尚家耀-HLHF-2,15387,D县尚家耀-HLHF,112.50112,33.61973,238,290,15
15352-129,D县草场沟-HLHF-2,15352,D县草场沟-HLHF,112.48901,33.63631,216,120,43
15352-128,D县草场沟-HLHF-1,15352,D县草场沟-HLHF,112.48901,33.63631,217,0,43
15352-130,D县草场沟-HLHF-3,15352,D县草场沟-HLHF,112.48901,33.63631,218,240,43
15357-129,D县大石涧-HLHF-2,15357,D县大石涧-HLHF,112.482592,33.548031,467,120,18
15357-130,D县大石涧-HLHF-3,15357,D县大石涧-HLHF,112.482592,33.548031,466,240,18
15357-128,D县大石涧-HLHF-1,15357,D县大石涧-HLHF,112.482592,33.548031,465,0,18
15411-129,D县卸花池-HLHF-2,15411,D县卸花池-HLHF,112.47101,33.62971,70,220,43
15411-128,D县卸花池-HLHF-1,15411,D县卸花池-HLHF,112.47101,33.62971,69,130,43
15392-130,D县天书寨-HLHF-3,15392,D县天书寨-HLHF,112.463024,33.579342,355,300,33
15392-128,D县天书寨-HLHF-1,15392,D县天书寨-HLHF,112.463024,33.579342,354,60,33
15392-129,D县天书寨-HLHF-2,15392,D县天书寨-HLHF,112.463024,33.579342,356,180,33
259715-0,D县宫前-HLHF-1,259715,D县宫前-HLHF,112.45901,33.61551,21,235,43
259715-1,D县宫前-HLHF-2,259715,D县宫前-HLHF,112.45901,33.61551,23,120,43
259715-2,D县宫前-HLHF-3,259715,D县宫前-HLHF,112.45901,33.61551,22,200,43
15410-129,D县小龙峡-HLHF-2,15410,D县小龙峡-HLHF,112.44101,33.55181,482,320,15
15410-128,D县小龙峡-HLHF-1,15410,D县小龙峡-HLHF,112.44101,33.55181,480,80,15
15523-129,D县雪花谷-HLHF-2,15523,D县雪花谷-HLHF,112.43601,33.54081,243,180,38
15523-128,D县雪花谷-HLHF-1,15523,D县雪花谷-HLHF,112.43601,33.54081,244,40,38
15523-130,D县雪花谷-HLHF-3,15523,D县雪花谷-HLHF,112.43601,33.54081,245,270,38
15366-128,D县韩川-HLHF-1,15366,D县韩川-HLHF,112.43401,33.59331,377,50,38
15366-129,D县韩川-HLHF-2,15366,D县韩川-HLHF,112.43401,33.59331,375,110,38
15366-130,D县韩川-HLHF-3,15366,D县韩川-HLHF,112.43401,33.59331,376,240,38
15396-130,D县瓦山沟-HLHF-3,15396,D县瓦山沟-HLHF,112.43301,33.66461,389,240,15
15396-129,D县瓦山沟-HLHF-2,15396,D县瓦山沟-HLHF,112.43301,33.66461,387,120,15
15418-128,D县岳家沟-HLHF-1,15418,D县岳家沟-HLHF,112.42519,33.61954,200,90,13
15346-128,D县白石崖-HLHF-1,15346,D县白石崖-HLHF,112.39501,33.55961,308,110,18
15346-129,D县白石崖-HLHF-2,15346,D县白石崖-HLHF,112.39501,33.55961,306,290,18
15347-129,D县白土坡-HLHF-2,15347,D县白土坡-HLHF,112.38464,33.69277,453,120,38
15347-130,D县白土坡-HLHF-3,15347,D县白土坡-HLHF,112.38464,33.69277,454,240,38
15347-128,D县白土坡-HLHF-1,15347,D县白土坡-HLHF,112.38464,33.69277,455,0,38
15414-129,D县窑上村-HLHF-2,15414,D县窑上村-HLHF,112.37501,33.62681,304,120,38
15414-130,D县窑上村-HLHF-3,15414,D县窑上村-HLHF,112.37501,33.62681,305,240,38
15414-128,D县窑上村-HLHF-1,15414,D县窑上村-HLHF,112.37501,33.62681,303,0,38
15374-128,D县连家洼-HLHF-1,15374,D县连家洼-HLHF,112.36801,33.66361,452,100,5
15374-130,D县连家洼-HLHF-3,15374,D县连家洼-HLHF,112.36801,33.66361,450,340,5
15353-129,D县草店-HLHF-2,15353,D县草店-HLHF,112.352144,33.636795,411,310,43
15353-128,D县草店-HLHF-1,15353,D县草店-HLHF,112.352144,33.636795,412,120,43
15356-130,D县崔家村-HLHF-3,15356,D县崔家村-HLHF,112.33901,33.69371,344,240,38
15356-128,D县崔家村-HLHF-1,15356,D县崔家村-HLHF,112.33901,33.69371,343,0,38
15356-129,D县崔家村-HLHF-2,15356,D县崔家村-HLHF,112.33901,33.69371,342,120,38
15399-130,D县卫家庄-HLHF-3,15399,D县卫家庄-HLHF,112.334195,33.637116,54,260,38
15399-129,D县卫家庄-HLHF-2,15399,D县卫家庄-HLHF,112.334195,33.637116,56,90,38
15399-128,D县卫家庄-HLHF-1,15399,D县卫家庄-HLHF,112.334195,33.637116,55,10,38
15383-130,D县桥洼-HLHF-3,15383,D县桥洼-HLHF,112.33201,33.66811,430,280,43
15383-128,D县桥洼-HLHF-1,15383,D县桥洼-HLHF,112.33201,33.66811,431,60,43
15383-129,D县桥洼-HLHF-2,15383,D县桥洼-HLHF,112.33201,33.66811,429,180,43
15369-129,D县后河一-HLHF-2,15369,D县后河一-HLHF,112.32802,33.57971,251,240,10
15369-128,D县后河一-HLHF-1,15369,D县后河一-HLHF,112.32802,33.57971,250,10,10
15369-131,D县后河一-HLHF-4,15369,D县后河一-HLHF,112.32802,33.57971,253,120,10
15369-130,D县后河一-HLHF-3,15369,D县后河一-HLHF,112.32802,33.57971,252,30,10
15348-128,D县北阳-HLHF-1,15348,D县北阳-HLHF,112.315451,33.699211,380,40,43
15348-129,D县北阳-HLHF-2,15348,D县北阳-HLHF,112.315451,33.699211,379,160,43
15348-130,D县北阳-HLHF-3,15348,D县北阳-HLHF,112.315451,33.699211,378,270,43
47450-1,D县东凡-HLHF-2,47450,D县东凡-HLHF,112.31401,33.68701,207,120,43
47450-0,D县东凡-HLHF-1,47450,D县东凡-HLHF,112.31401,33.68701,209,0,43
47450-2,D县东凡-HLHF-3,47450,D县东凡-HLHF,112.31401,33.68701,208,240,43
15393-130,D县田家村-HLHF-3,15393,D县田家村-HLHF,112.298029,33.683256,334,310,33
15393-129,D县田家村-HLHF-2,15393,D县田家村-HLHF,112.298029,33.683256,333,200,33
15393-128,D县田家村-HLHF-1,15393,D县田家村-HLHF,112.298029,33.683256,335,80,33
124919-2,D县下庄-HLHF-3,124919,D县下庄-HLHF,112.27901,33.64151,337,240,43
124919-1,D县下庄-HLHF-2,124919,D县下庄-HLHF,112.27901,33.64151,338,120,43
124919-0,D县下庄-HLHF-1,124919,D县下庄-HLHF,112.27901,33.64151,336,0,43
5791-144,D县菜园安置小区-HLWE-1,5791,D县菜园安置小区-HLWE,112.27601,33.67921,277,0,0
259714-2,D县菜园-HLHF-3,259714,D县菜园-HLHF,112.27401,33.67651,255,330,48
259714-1,D县菜园-HLHF-2,259714,D县菜园-HLHF,112.27401,33.67651,256,210,48
259714-0,D县菜园-HLHF-1,259714,D县菜园-HLHF,112.27401,33.67651,257,90,48
15409-128,D县崤山金矿二-HLHF-1,15409,D县崤山金矿二-HLHF,112.27346,33.59509,52,0,11
15409-130,D县崤山金矿二-HLHF-3,15409,D县崤山金矿二-HLHF,112.27346,33.59509,51,240,11
15409-129,D县崤山金矿二-HLHF-2,15409,D县崤山金矿二-HLHF,112.27346,33.59509,53,120,11
15408-128,D县崤山金矿-HLHF-1,15408,D县崤山金矿-HLHF,112.25929,33.58471,59,0,23
15408-130,D县崤山金矿-HLHF-3,15408,D县崤山金矿-HLHF,112.25929,33.58471,57,240,23
15408-129,D县崤山金矿-HLHF-2,15408,D县崤山金矿-HLHF,112.25929,33.58471,58,120,23
47453-2,D县甘山羊十八-HLHF-3,47453,D县甘山羊十八-HLHF,112.23434,33.526378,478,250,10
47453-1,D县甘山羊十八-HLHF-2,47453,D县甘山羊十八-HLHF,112.23434,33.526378,477,90,8
15389-128,D县石原-HLHF-1,15389,D县石原-HLHF,112.23225,33.61947,45,0,48
15389-130,D县石原-HLHF-3,15389,D县石原-HLHF,112.23225,33.61947,46,240,48
15389-129,D县石原-HLHF-2,15389,D县石原-HLHF,112.23225,33.61947,47,120,48
124917-2,D县太阳-HLHF-3,124917,D县太阳-HLHF,112.23201,33.66521,416,180,33
124917-0,D县太阳-HLHF-1,124917,D县太阳-HLHF,112.23201,33.66521,414,320,33
124917-1,D县太阳-HLHF-2,124917,D县太阳-HLHF,112.23201,33.66521,415,70,33
5661-128,D县赵村-HLHF-1,5661,D县赵村-HLHF,112.22342,33.63517,49,45,33
5661-129,D县赵村-HLHF-2,5661,D县赵村-HLHF,112.22342,33.63517,50,165,33
5661-130,D县赵村-HLHF-3,5661,D县赵村-HLHF,112.22342,33.63517,48,290,33
47455-0,D县甘山大门-HLHF-1,47455,D县甘山大门-HLHF,112.218712,33.549056,494,10,28
47455-1,D县甘山大门-HLHF-2,47455,D县甘山大门-HLHF,112.218712,33.549056,492,160,28
259667-0,D县张一村-HLHF-1,259667,D县张一村-HLHF,112.21517,33.62803,270,130,43
259667-1,D县张一村-HLHF-2,259667,D县张一村-HLHF,112.21517,33.62803,271,240,43
124836-2,D县水淆-HLHF-3,124836,D县水淆-HLHF,112.21368,33.64913,448,300,38
124836-0,D县水淆-HLHF-1,124836,D县水淆-HLHF,112.21368,33.64913,447,60,38
124836-1,D县水淆-HLHF-2,124836,D县水淆-HLHF,112.21368,33.64913,449,180,38
5887-144,D县西张村营业厅小基站-HLWE-1,5887,D县西张村营业厅小基站-HLWE,112.21308,33.62274,260,0,0
5634-128,D县王村-HLHF-1,5634,D县王村-HLHF,112.21034,33.67065,440,0,33
5634-129,D县王村-HLHF-2,5634,D县王村-HLHF,112.21034,33.67065,439,120,33
5634-130,D县王村-HLHF-3,5634,D县王村-HLHF,112.21034,33.67065,438,240,33
259718-2,D县宜村大街-HLHF-3,259718,D县宜村大街-HLHF,112.21017,33.69632,363,240,43
259718-1,D县宜村大街-HLHF-2,259718,D县宜村大街-HLHF,112.21017,33.69632,365,120,43
259718-0,D县宜村大街-HLHF-1,259718,D县宜村大街-HLHF,112.21017,33.69632,364,0,43
259602-1,D县张村-HLHF-2,259602,D县张村-HLHF,112.206,33.6241,395,120,43
259602-0,D县张村-HLHF-1,259602,D县张村-HLHF,112.206,33.6241,393,0,43
259602-2,D县张村-HLHF-3,259602,D县张村-HLHF,112.206,33.6241,394,240,43
15550-129,D县甘山滑雪场-HLHF-2,15550,D县甘山滑雪场-HLHF,112.20111,33.50194,487,200,11
15550-128,D县甘山滑雪场-HLHF-1,15550,D县甘山滑雪场-HLHF,112.20111,33.50194,488,60,11
