253909-2,B马连银小区-HLHF-3,87,207
253910-0,B马梁沟-HLHF-1,272,219
253910-1,B马梁沟-HLHF-2,270,220
253910-2,B马梁沟-HLHF-3,271,221
253911-0,B马梁沟社区-HLHF-1,410,236
253911-1,B马梁沟社区-HLHF-2,408,235
253911-2,B马梁沟社区-HLHF-3,409,234
253912-0,B马龙山街-HLHF-1,254,238
253912-1,B马龙山街-HLHF-2,252,239
253912-2,B马龙山街-HLHF-3,253,237
253913-0,B马裴村-HLHF-1,474,229
253913-1,B马裴村-HLHF-2,476,228
253913-2,B马裴村-HLHF-3,475,230
253914-0,B马棚户区-HLHF-1,219,222
253914-1,B马棚户区-HLHF-2,221,224
253914-2,B马棚户区-HLHF-3,220,223
253915-0,B马汽车城-HLHF-1,23,226
253915-1,B马汽车城-HLHF-2,22,227
253915-2,B马汽车城-HLHF-3,21,225
253916-0,B马汽车站-HLHF-1,15,49
253916-1,B马汽车站-HLHF-2,17,48
253916-2,B马汽车站-HLHF-3,16,50
253917-0,B马汽修厂-HLHF-1,424,51
253917-1,B马汽修厂-HLHF-2,425,52
253917-2,B马汽修厂-HLHF-3,423,53
253918-0,B马千秋-HLHF-1,158,46
253918-1,B马千秋-HLHF-2,157,45
253918-2,B马千秋-HLHF-3,156,47
253919-0,B马千秋村-HLHF-1,310,40
253919-1,B马千秋村-HLHF-2,311,39
253919-2,B马千秋村-HLHF-3,309,41
253920-0,B马花园头-HLHF-1,49,43
253920-1,B马花园头-HLHF-2,50,42
253920-2,B马花园头-HLHF-3,48,44
253921-0,B马千秋路广告牌-HLHF-1,44,54
253921-1,B马千秋路广告牌-HLHF-2,43,55
253921-2,B马千秋路广告牌-HLHF-3,42,56
253922-0,B马千秋煤矿-HLHF-1,302,66
253922-1,B马千秋煤矿-HLHF-2,300,68
253922-2,B马千秋煤矿-HLHF-3,301,67
253923-0,B马荣华宾馆-HLHF-1,63,71
253923-1,B马荣华宾馆-HLHF-2,65,70
253923-2,B马荣华宾馆-HLHF-3,64,69
253924-0,B马生态公园-HLHF-1,353,65
253924-1,B马生态公园-HLHF-2,351,64
253924-2,B马生态公园-HLHF-3,352,63
253926-0,B马水利局-HLHF-1,491,57
253926-1,B马水利局-HLHF-2,489,59
253926-2,B马水利局-HLHF-3,490,58
253927-0,B马体育公园美化塔-HLHF-1,177,62
253927-1,B马体育公园美化塔-HLHF-2,179,61
253927-2,B马体育公园美化塔-HLHF-3,178,60
253928-0,B马文武学校-HLHF-1,430,38
253928-1,B马文武学校-HLHF-2,431,37
253928-2,B马文武学校-HLHF-3,429,36
253929-0,B马五一宾馆-HLHF-1,437,12
253929-1,B马五一宾馆-HLHF-2,436,13
253929-2,B马五一宾馆-HLHF-3,435,14
253930-128,B马水厂-HLHF-1,2,16
253930-129,B马水厂-HLHF-2,1,15
253930-130,B马水厂-HLHF-3,0,17
253931-0,B马西工区-HLHF-1,159,20
253931-1,B马西工区-HLHF-2,161,19
253931-2,B马西工区-HLHF-3,160,18
253932-0,B马西郭庄-HLHF-1,132,8
253932-1,B马西郭庄-HLHF-2,133,7
253932-2,B马西郭庄-HLHF-3,134,6
253933-0,B马西裴村-HLHF-1,67,11
253933-1,B马西裴村-HLHF-2,68,9
253933-2,B马西裴村-HLHF-3,66,10
253934-0,B马义渑快速通道美化塔-HLHF-1,28,30
253934-1,B马义渑快速通道美化塔-HLHF-2,27,31
253934-2,B马义渑快速通道美化塔-HLHF-3,29,32
253935-0,B马银杏公园-HLHF-1,246,34
253935-1,B马银杏公园-HLHF-2,247,33
253935-2,B马银杏公园-HLHF-3,248,35
253936-0,B马银杏路-HLHF-1,288,27
253936-1,B马银杏路-HLHF-2,289,29
253936-2,B马银杏路-HLHF-3,290,28
253937-0,B马跃进煤矿-HLHF-1,329,22
253937-1,B马跃进煤矿-HLHF-2,328,21
253937-2,B马跃进煤矿-HLHF-3,327,23
253938-0,B马跃进小学-HLHF-1,306,25
253938-1,B马跃进小学-HLHF-2,307,26
253938-2,B马跃进小学-HLHF-3,308,24
253939-0,B马振兴化工厂-HLHF-1,144,72
253939-1,B马振兴化工厂-HLHF-2,145,74
253939-2,B马振兴化工厂-HLHF-3,146,73
253940-0,B马质检局-HLHF-1,361,119
253940-1,B马质检局-HLHF-2,362,117
253940-2,B马质检局-HLHF-3,360,118
253941-0,B马中澜化工-HLHF-1,103,120
253941-1,B马中澜化工-HLHF-2,104,121
253941-2,B马中澜化工-HLHF-3,102,122
253949-0,B马常村-HLHF-1,143,114
253949-1,B马常村-HLHF-2,141,115
253949-2,B马常村-HLHF-3,142,116
253950-0,B马予西宾馆-HLHF-1,150,109
253950-1,B马予西宾馆-HLHF-2,152,110
253950-2,B马予西宾馆-HLHF-3,151,108
259584-0,B马红土坡-HLHF-1,415,1
259584-1,B马红土坡-HLHF-2,414,2
259584-2,B马红土坡-HLHF-3,416,0
259584-3,B马红土坡-HLHF-4,417,4
259627-0,B马煤气化三期-HLHF-1,225,112
259627-1,B马煤气化三期-HLHF-2,226,113
259627-2,B马煤气化三期-HLHF-3,227,111
259682-0,B马毛沟-HLHF-1,364,124
259682-1,B马毛沟-HLHF-2,363,125
259682-2,B马毛沟-HLHF-3,365,123
259761-0,B马毛沟棚户区-HLHF-1,76,136
259761-1,B马毛沟棚户区-HLHF-2,75,135
259761-2,B马毛沟棚户区-HLHF-3,77,137
259772-0,B马红盾宾馆-HLHF-1,495,138
259772-1,B马红盾宾馆-HLHF-2,497,140
259772-2,B马红盾宾馆-HLHF-3,496,139
259775-0,B马幸福里-HLHF-1,26,134
259775-1,B马幸福里-HLHF-2,25,132
259775-2,B马幸福里-HLHF-3,24,133
259778-0,B马华丰机械-HLHF-1,55,127
