15109-129,C氏西关建材市场-HLHF-2,5004907.100325
15461-128,C氏五里川河南村-HLHF-1,4548311.482175
238336-6,工学院-HLHD-7,4474034.136025
15327-129,A池四龙庙-HLHF-2,4051173.81957
15173-130,E宝南天-HLHF-3,3926577.129285
238363-2,农行-HLHF-3,3625506.215585
15104-130,虹桥电器-HLHD-3,3609085.136225
124902-0,E宝大寨-HLHF-1,3548876.610825
238342-3,黄委会-HLHF-4,3465086.31013
15262-130,C氏青岩壁-HLHF-3,3258818.97495
15615-129,风景区二号码头-HLHF-2,3229977.110695
124691-1,A池崤店-HLHF-2,3152313.3598
124751-1,E宝杨家-HLHF-2,3086837.47823
124861-2,C氏涧北沟-HLHF-3,2949674.96474
124810-0,A池槐树洼-HLHF-1,2916588.941685
15454-128,C氏三角村-HLHF-1,2846009.95671
15258-130,C氏漂池-HLHF-3,2841960.866965
124837-1,D县金银山西-HLHF-2,2714581.75111
15114-129,B马兴苑小区-HLHF-2,2628685.65238
124776-1,E宝西留-HLHF-2,2625687.377105
124808-2,A池西村-HLHF-3,2472204.121015
15409-129,D县崤山金矿二-HLHF-2,2446384.159855
238347-2,小肥羊快捷-HLHF-3,2373342.9971
124678-2,A池东坡头-HLHF-3,2369828.155135
